Ano,Mês,LOCAL,INSCRIÇÃO,HIDROMETRO,LEITURA ANTERIOR,LEITURA ATUAL, m3,R$
2007,janeiro,UNB CENTRO FORMAÇÃO REC.,478806-1,E04N000017,2562,2942,113,"R$ 1199,60"
2007,janeiro,UnB CENTRO OLÍMPICO LIG - 1,481324-3,E03N000826,9890,11089,2181,"R$ 24088,20"
2007,janeiro,UNB COMPLEXO DAS ARTE,479002-2,E02N000825,3279,3402,122,"R$ 1298,60"
2007,janeiro,UNB DEPARTAMENTO DE MÚSICA SG-2 HID.01,476243-6,E04N000167,1127,1146,22,"R$ 198,60"
2007,janeiro,UNB DEPARTAMENTO DE MÚSICA SG-4   1,478996-2,E0N000296,843,898,38,"R$ 374,60"
2007,janeiro,UNB ENGENHARIA ELETRICA SG 11 LIG 2,475844-7,E02N000752,1786,2034,78,"R$ 814,60"
2007,janeiro,UNB FACULD. DE MEDICINA DE SAÚDE,478987-3,E03N001125,7943,8994,85,"R$ 891,60"
2007,janeiro,UNB FACULDADE DE EDUCAÇÃO FE 1 LIG 2,475838-2,E78T000568,2118,2242,122,"R$ 1218,58"
2007,janeiro,UNB FACULDADE DE EDUCAÇÃO FE 3 LIG 2,475840-4,E78T000003,2836,2913,64,"R$ 660,60"
2007,janeiro,UNB FACULDADE DE EDUCAÇÃO FE 5 LIG 2,475842-1,E78T000540,1900,2088,57,"R$ 583,60"
2007,janeiro,UnB FACULDADE DE EDUCAÇÃO FÍSICA,481338-3,E03N000850,2831,3175,562,"R$ 6138,60"
2007,janeiro,UNB INST.CENTRAL DE CIÊNCIAS ICC-I,8527-8,H90T000007,113997,120121,4841,"R$ 53207,60"
2007,janeiro,UNB INSTITUTO DE ARTES 1,478998-9,E04000153,1879,2010,111,"R$ 1177,60"
2007,janeiro,UNB LAB. ENG. CIVIL SG 12 - 1,476238-1,E03N001175,3526,3664,163,"R$ 1749,60"
2007,janeiro,UNB LAB. ENG. MECÂNICA SG 9 LIG 2,475846-3,E81L000311,1460,1539,149,"R$ 1595,60"
2007,janeiro,UNB MULTIUSO II LIGAÇÃO 01,479017-1,E04N000191,1984,2268,134,"R$ 1430,60"
2007,janeiro,UNB NUCLEO DE MEDICINA TROPICAL 01,479021-9,E04N000065,1878,1917,466,"R$ 5082,60"
2007,janeiro,UNB OCA 01 PIJ OCA 01,479015-4,A03N001198,1255,1362,119,"R$ 1265,60"
2007,janeiro,UNB PANCP HOSP VETERINÁRIO BIOT.  01,476786-1,E02N001959,4591,5101,212,"R$ 2288,60"
2007,janeiro,UNB PAVILHÃO ANÍSIO TEIXEIRA,478988-1,E03N001240,3455,3879,67,"R$ 693,60"
2007,janeiro,UNB POSTO DA PM - PMDF,480343-4,A06A040136,647,726,39,"R$ 385,60"
2007,janeiro,UnB QUIOSQUE LANCHONETE ICC,484169-7,A06A080133,329,352,22,"R$ 198,60"
2007,janeiro,UNB RESTAURANTE UNVERSITÁRIO - RU,8531-6,F01N000663,13574,13978,781,"R$ 8547,60"
2007,janeiro,UNB- SGP T 61111,480345-1,A06A040130,347,382,31,"R$ 297,60"
2007,janeiro,UNB SISMOLÓGICO 02 SIS LIGAÇÃO 2,475848-1,E81L000157,1848,2100,150,"R$ 1606,60"
2007,janeiro,UNB T 6111 AUDITÓRIO DE MÚSICA SG-8-1,476241-1,E03N000840,57,58,10,"R$ 66,60"
2007,janeiro,UNB TARTARUGA LANCHES LANCHONETE,479000-7,A06A039844,99,109,10,"R$ 66,60"
2007,janeiro,UNB TRAILLER FACULD. EDUC. 3 ESTACIONA.,478984-9,A06A041626,773,773,10,"R$ 66,60"
2007,janeiro,UNB TRAILLER QUIOSQUE ICC,476788-8,A06A041636,115,120,10,"R$ 66,60"
2007,janeiro,UNB. PAVILHÃO MUTIUSO 01,479010-3,E03N001246,5303,5630,284,"R$ 3080,60"
2007,janeiro,UNB-TREILER LANCHONETE GAREM,484168-9,A06A080128,70,76,10,"R$ 66,60"
2007,fevereiro,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,480349-3,E03N001461,5945,6280,623,"R$ 6809,60"
2007,fevereiro,FACULD. DE DIREITO CIÊNC. POL DIR. 1,478809-5,E03N001214,5335,5749,407,"R$ 4433,60"
2007,fevereiro,FACULDADE DE TECNO- LOGIA FTD LIG 1,475851-1,H78T000015,17848,18745,824,"R$ 9020,60"
2007,fevereiro,FUB -SCEN TR EST.ESP. BIOLOGIA,8542-1,E03N000897,25118,26159,718,"R$ 7854,60"
2007,fevereiro,FUB. BRASÍLIA CNN 01 BL E SALAS CEIL.,209600-5,A04N457307,1206,1229,10,"R$ 66,60"
2007,fevereiro,FUB-BRASÍLIA SCLN 205 BL. D LJ 07,19696-7,A00N445103,1882,1897,14,"R$ 110,60"
2007,fevereiro,FUB-BRASÍLIA VNSF CJ B2 AREA UNIV. 1 UPLAN,373656-3,C01N000109,7637,7693,27,"R$ 253,60"
2007,fevereiro,FUND.UNIV. BRASÍLIA PCA CORETO,331567-3,A05S118580,65,71,10,"R$ 66,60"
2007,fevereiro,GARAGEM  DA UNB,485967-7,C01N000495,1742,1859,177,"R$ 1903,60"
2007,fevereiro,INST. DE-ARTE IDA SCLN 406 BL. A LJ 32,19813-7,A05S117901,21,21,10,"R$ 66,60"
2007,fevereiro,OFICINA MAQUETE P INSTITUTO DE  ARTE UNB,480338-8,A06A04134,1379,1694,98,"R$ 1034,60"
2007,fevereiro,POSTO DE COMBUSTIVEL - GASOLINA UNB,480340-1,A06A040133,318,345,29,"R$ 275,60"
2007,fevereiro,PREFEITURA DA UNB LIGAÇÃO 02,480342-6,E03N000289,5121,5768,446,"R$ 4862,60"
2007,fevereiro,UNB  ARQUITETURA DANÇA SG 10-1 CEPLAN,476240-1,E03N000308,1200,1344,76,"R$ 792,60"
2007,fevereiro,UNB - PAVILHÃO JOÃO CALMON 01,478811-7,E04N000180,3706,4472,49,"R$ 495,60"
2007,fevereiro,UNB - POSTO DE SAÚDE,480337-1,C03N001119,1413,1617,107,"R$ 1071,68"
2007,fevereiro,UNB - REITORIA LIGAÇÃO 01,480347-7,E03N001158,6825,7833,423,"R$ 4609,60"
2007,fevereiro,UnB ALMOXARIFADO CENTRAL LIG. 01,478994-6,C03N000966,1955,1977,295,"R$ 3201,60"
2007,fevereiro,UNB ASSOS. DOS SERVID. ASFUB LIG. 2,475855-2,A04L054783,624,649,37,"R$ 363,60"
2007,fevereiro,UnB BANCA DE REVISTA COLINA,484167-1,A06A080132,50,59,5,"R$ 66,60"
2007,fevereiro,UNB BANCO DO BRASIL LIGAÇÃO 01,479004-9,C03N001205,712,817,21,"R$ 187,60"
2007,fevereiro,UNB BANCO REAL LIGAÇÃO 01,479007-3,C03N000596,25,25,1,"R$ 66,60"
2007,fevereiro,UNB CANTINA CHICO MENDES,479009-1,A06A039940,675,738,48,"R$ 484,60"
2007,fevereiro,UnB CASA DO  ESTUDANTE BL.A,481326-1,E03N000829,8870,9541,95,"R$ 6873,20"
2007,fevereiro,UnB CASA DO ESTUDANTE BL. B LIG-1,481327-8,E03N000284,6247,6808,529,"R$ 5775,60"
2007,fevereiro,UNB CASA DO PROFº 2 ADUNB LIG. 2,475854-4,E03N000286,451,534,12,"R$ 88,60"
2007,fevereiro,UNB CENT DE EXELENCIA EM TURISMO LIG 01,479019-7,E04N000176,2572,2915,117,"R$ 1243,60"
2007,fevereiro,UnB CENTRO COMUNITÁRIO CCAB - 01,478995-4,C03N000425,1279,1367,562,"R$ 6164,80"
2007,fevereiro,UNB CENTRO DE CONVIVÊNCIA NEGRA,480339-6,A06A040132,135,155,8,"R$ 66,60"
2007,fevereiro,UNB CENTRO FORMAÇÃO REC.,478806-1,E04N000017,2562,2942,184,"R$ 1980,60"
2007,fevereiro,UnB CENTRO OLÍMPICO LIG - 1,481324-3,E03N000826,9890,11089,344,"R$ 3740,60"
2007,fevereiro,UNB COMPLEXO DAS ARTE,479002-2,E02N000825,3279,3402,42,"R$ 418,60"
2007,fevereiro,UNB DEPARTAMENTO DE MÚSICA SG-2 HID.01,476243-6,E04N000167,1127,1146,18,"R$ 154,60"
2007,fevereiro,UNB DEPARTAMENTO DE MÚSICA SG-4   1,478996-2,E0N000296,843,898,59,"R$ 605,60"
2007,fevereiro,UNB ENGENHARIA ELETRICA SG 11 LIG 2,475844-7,E02N000752,1786,2034,115,"R$ 1221,60"
2007,fevereiro,UNB FACULD. DE MEDICINA DE SAÚDE,478987-3,E03N001125,7943,8994,158,"R$ 1694,60"
2007,fevereiro,UNB FACULDADE DE EDUCAÇÃO FE 1 LIG 2,475838-2,E78T000568,2118,2242,263,"R$ 2651,10"
2007,fevereiro,UNB FACULDADE DE EDUCAÇÃO FE 3 LIG 2,475840-4,E78T000003,2836,2913,60,"R$ 616,60"
2007,fevereiro,UNB FACULDADE DE EDUCAÇÃO FE 5 LIG 2,475842-1,E78T000540,1900,2088,59,"R$ 605,60"
2007,fevereiro,UnB FACULDADE DE EDUCAÇÃO FÍSICA,481338-3,E03N000850,2831,3175,95,"R$ 1001,60"
2007,fevereiro,UNB INST.CENTRAL DE CIÊNCIAS ICC-I,8527-8,H90T000007,113997,120121,4836,"R$ 53152,60"
2007,fevereiro,UNB INSTITUTO DE ARTES 1,478998-9,E04000153,1879,2010,104,"R$ 1100,60"
2007,fevereiro,UNB LAB. ENG. CIVIL SG 12 - 1,476238-1,E03N001175,3526,3664,366,"R$ 3982,60"
2007,fevereiro,UNB LAB. ENG. MECÂNICA SG 9 LIG 2,475846-3,E81L000311,1460,1539,83,"R$ 869,60"
2007,fevereiro,UNB MULTIUSO II LIGAÇÃO 01,479017-1,E04N000191,1984,2268,166,"R$ 1782,60"
2007,fevereiro,UNB NUCLEO DE MEDICINA TROPICAL 01,479021-9,E04N000065,1878,1917,222,"R$ 2398,60"
2007,fevereiro,UNB OCA 01 PIJ OCA 01,479015-4,A03N001198,1255,1362,129,"R$ 1375,60"
2007,fevereiro,UNB PANCP HOSP VETERINÁRIO BIOT.  01,476786-1,E02N001959,4591,5101,292,"R$ 3168,60"
2007,fevereiro,UNB PAVILHÃO ANÍSIO TEIXEIRA,478988-1,E03N001240,3455,3879,102,"R$ 1078,60"
2007,fevereiro,UNB POSTO DA PM - PMDF,480343-4,A06A040136,647,726,40,"R$ 396,60"
2007,fevereiro,UnB QUIOSQUE LANCHONETE ICC,484169-7,A06A080133,329,352,9,"R$ 66,60"
2007,fevereiro,UNB RESTAURANTE UNVERSITÁRIO - RU,8531-6,F01N000663,13574,13978,149,"R$ 1595,60"
2007,fevereiro,UNB- SGP T 61111,480345-1,A06A040130,347,382,29,"R$ 275,60"
2007,fevereiro,UNB SISMOLÓGICO 02 SIS LIGAÇÃO 2,475848-1,E81L000157,1848,2100,46,"R$ 462,60"
2007,fevereiro,UNB T 6111 AUDITÓRIO DE MÚSICA SG-8-1,476241-1,E03N000840,57,58,4,"R$ 66,60"
2007,fevereiro,UNB TARTARUGA LANCHES LANCHONETE,479000-7,A06A039844,99,109,4,"R$ 66,60"
2007,fevereiro,UNB TRAILLER FACULD. EDUC. 3 ESTACIONA.,478984-9,A06A041626,773,773,10,"R$ 66,60"
2007,fevereiro,UNB TRAILLER QUIOSQUE ICC,476788-8,A06A041636,115,120,8,"R$ 66,60"
2007,fevereiro,UNB. PAVILHÃO MUTIUSO 01,479010-3,E03N001246,5303,5630,294,"R$ 3190,60"
2007,fevereiro,UNB-TREILER LANCHONETE GAREM,484168-9,A06A080128,70,76,3,"R$ 66,60"
2007,março,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,480349-3,E03N001461,5945,6280,461,"R$ 5036,82"
2007,março,FACULD. DE DIREITO CIÊNC. POL DIR. 1,478809-5,E03N001214,5335,5749,381,"R$ 4155,22"
2007,março,FACULDADE DE TECNO- LOGIA FTD LIG 1,475851-1,H78T000015,17848,18745,642,"R$ 7031,44"
2007,março,FUB -SCEN TR EST.ESP. BIOLOGIA,8542-1,E03N000897,25118,26159,944,"R$ 10359,48"
2007,março,FUB. BRASÍLIA CNN 01 BL E SALAS CEIL.,209600-5,A04N457307,1206,1229,8,"R$ 66,80"
2007,março,FUB-BRASÍLIA SCLN 205 BL. D LJ 07,19696-7,A00N445103,1882,1897,9,"R$ 66,80"
2007,março,FUB-BRASÍLIA VNSF CJ B2 AREA UNIV. 1 UPLAN,373656-3,C01N000109,7637,7693,28,"R$ 265,16"
2007,março,FUND.UNIV. BRASÍLIA PCA CORETO,331567-3,A05S118580,65,71,10,"R$ 66,80"
2007,março,GARAGEM  DA UNB,485967-7,C01N000495,1742,1859,149,"R$ 1598,58"
2007,março,INST. DE-ARTE IDA SCLN 406 BL. A LJ 32,19813-7,A05S117901,21,21,10,"R$ 66,80"
2007,março,OFICINA MAQUETE P INSTITUTO DE  ARTE UNB,480338-8,A06A04134,1379,1694,98,"R$ 1036,56"
2007,março,POSTO DE COMBUSTIVEL - GASOLINA UNB,480340-1,A06A040133,318,345,28,"R$ 265,16"
2007,março,PREFEITURA DA UNB LIGAÇÃO 02,480342-6,E03N000289,5121,5768,362,"R$ 3945,84"
2007,março,UNB  ARQUITETURA DANÇA SG 10-1 CEPLAN,476240-1,E03N000308,1200,1344,64,"R$ 661,88"
2007,março,UNB - PAVILHÃO JOÃO CALMON 01,478811-7,E04N000180,3706,4472,48,"R$ 485,56"
2007,março,UNB - POSTO DE SAÚDE,480337-1,C03N001119,1413,1617,76,"R$ 696,56"
2007,março,UNB - REITORIA LIGAÇÃO 01,480347-7,E03N001158,6825,7833,452,"R$ 4937,64"
2007,março,UnB ALMOXARIFADO CENTRAL LIG. 01,478994-6,C03N000966,1955,1977,103,"R$ 1091,66"
2007,março,UNB ASSOS. DOS SERVID. ASFUB LIG. 2,475855-2,A04L054783,624,649,31,"R$ 298,22"
2007,março,UnB BANCA DE REVISTA COLINA,484167-1,A06A080132,50,59,2,"R$ 66,80"
2007,março,UNB BANCO DO BRASIL LIGAÇÃO 01,479004-9,C03N001205,712,817,25,"R$ 232,10"
2007,março,UNB BANCO REAL LIGAÇÃO 01,479007-3,C03N000596,25,25,10,"R$ 66,80"
2007,março,UNB CANTINA CHICO MENDES,479009-1,A06A039940,675,738,45,"R$ 452,50"
2007,março,UnB CASA DO  ESTUDANTE BL.A,481326-1,E03N000829,8870,9541,720,"R$ 7891,00"
2007,março,UnB CASA DO ESTUDANTE BL. B LIG-1,481327-8,E03N000284,6247,6808,474,"R$ 5180,08"
2007,março,UNB CASA DO PROFº 2 ADUNB LIG. 2,475854-4,E03N000286,451,534,10,"R$ 66,80"
2007,março,UNB CENT DE EXELENCIA EM TURISMO LIG 01,479019-7,E04N000176,2572,2915,92,"R$ 970,44"
2007,março,UnB CENTRO COMUNITÁRIO CCAB - 01,478995-4,C03N000425,1279,1367,97,"R$ 1025,54"
2007,março,UNB CENTRO DE CONVIVÊNCIA NEGRA,480339-6,A06A040132,135,155,3,"R$ 66,80"
2007,março,UNB CENTRO FORMAÇÃO REC.,478806-1,E04N000017,2562,2942,90,"R$ 948,40"
2007,março,UnB CENTRO OLÍMPICO LIG - 1,481324-3,E03N000826,9890,11089,399,"R$ 4353,58"
2007,março,UNB COMPLEXO DAS ARTE,479002-2,E02N000825,3279,3402,514,"R$ 5620,88"
2007,março,UNB DEPARTAMENTO DE MÚSICA SG-2 HID.01,476243-6,E04N000167,1127,1146,30,"R$ 287,20"
2007,março,UNB DEPARTAMENTO DE MÚSICA SG-4   1,478996-2,E0N000296,843,898,18,"R$ 154,96"
2007,março,UNB ENGENHARIA ELETRICA SG 11 LIG 2,475844-7,E02N000752,1786,2034,108,"R$ 1146,76"
2007,março,UNB FACULD. DE MEDICINA DE SAÚDE,478987-3,E03N001125,7943,8994,806,"R$ 8838,72"
2007,março,UNB FACULDADE DE EDUCAÇÃO FE 1 LIG 2,475838-2,E78T000568,2118,2242,60,"R$ 466,60"
2007,março,UNB FACULDADE DE EDUCAÇÃO FE 3 LIG 2,475840-4,E78T000003,2836,2913,60,"R$ 617,80"
2007,março,UNB FACULDADE DE EDUCAÇÃO FE 5 LIG 2,475842-1,E78T000540,1900,2088,46,"R$ 463,52"
2007,março,UnB FACULDADE DE EDUCAÇÃO FÍSICA,481338-3,E03N000850,2831,3175,96,"R$ 1014,52"
2007,março,UNB INST.CENTRAL DE CIÊNCIAS ICC-I,8527-8,H90T000007,113997,120121,4354,"R$ 47937,68"
2007,março,UNB INSTITUTO DE ARTES 1,478998-9,E04000153,1879,2010,194,"R$ 2094,48"
2007,março,UNB LAB. ENG. CIVIL SG 12 - 1,476238-1,E03N001175,3526,3664,377,"R$ 4111,14"
2007,março,UNB LAB. ENG. MECÂNICA SG 9 LIG 2,475846-3,E81L000311,1460,1539,86,"R$ 904,32"
2007,março,UNB MULTIUSO II LIGAÇÃO 01,479017-1,E04N000191,1984,2268,186,"R$ 2006,32"
2007,março,UNB NUCLEO DE MEDICINA TROPICAL 01,479021-9,E04N000065,1878,1917,58,"R$ 595,76"
2007,março,UNB OCA 01 PIJ OCA 01,479015-4,A03N001198,1255,1362,145,"R$ 1554,50"
2007,março,UNB PANCP HOSP VETERINÁRIO BIOT.  01,476786-1,E02N001959,4591,5101,310,"R$ 3372,80"
2007,março,UNB PAVILHÃO ANÍSIO TEIXEIRA,478988-1,E03N001240,3455,3879,69,"R$ 716,98"
2007,março,UNB POSTO DA PM - PMDF,480343-4,A06A040136,647,726,35,"R$ 342,30"
2007,março,UnB QUIOSQUE LANCHONETE ICC,484169-7,A06A080133,329,352,17,"R$ 143,94"
2007,março,UNB RESTAURANTE UNVERSITÁRIO - RU,8531-6,F01N000663,13574,13978,589,"R$ 6447,38"
2007,março,UNB- SGP T 61111,480345-1,A06A040130,347,382,17,"R$ 143,94"
2007,março,UNB SISMOLÓGICO 02 SIS LIGAÇÃO 2,475848-1,E81L000157,1848,2100,26,"R$ 243,12"
2007,março,UNB T 6111 AUDITÓRIO DE MÚSICA SG-8-1,476241-1,E03N000840,57,58,6,"R$ 66,80"
2007,março,UNB TARTARUGA LANCHES LANCHONETE,479000-7,A06A039844,99,109,2,"R$ 66,60"
2007,março,UNB TRAILLER FACULD. EDUC. 3 ESTACIONA.,478984-9,A06A041626,773,773,10,"R$ 66,80"
2007,março,UNB TRAILLER QUIOSQUE ICC,476788-8,A06A041636,115,120,3,"R$ 66,80"
2007,março,UNB. PAVILHÃO MUTIUSO 01,479010-3,E03N001246,5303,5630,671,"R$ 7351,02"
2007,março,UNB-TREILER LANCHONETE GAREM,484168-9,A06A080128,70,76,3,"R$ 66,80"
2007,abril,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,480349-3,E03N001461,5945,6280,673,"R$ 7573,76"
2007,abril,FACULD. DE DIREITO CIÊNC. POL DIR. 1,478809-5,E03N001214,5335,5749,603,"R$ 6781,36"
2007,abril,FACULDADE DE TECNO- LOGIA FTD LIG 1,475851-1,H78T000015,17848,18745,1227,"R$ 13845,04"
2007,abril,FUB -SCEN TR EST.ESP. BIOLOGIA,8542-1,E03N000897,25118,26159,1449,"R$ 16358,08"
2007,abril,FUB. BRASÍLIA CNN 01 BL E SALAS CEIL.,209600-5,A04N457307,1206,1229,15,"R$ 125,20"
2007,abril,FUB-BRASÍLIA SCLN 205 BL. D LJ 07,19696-7,A00N445103,1882,1897,14,"R$ 113,88"
2007,abril,FUB-BRASÍLIA VNSF CJ B2 AREA UNIV. 1 UPLAN,373656-3,C01N000109,7637,7693,50,"R$ 521,40"
2007,abril,FUND.UNIV. BRASÍLIA PCA CORETO,331567-3,A05S118580,65,71,2,"R$ 146,60"
2007,abril,GARAGEM  DA UNB,485967-7,C01N000495,1742,1859,151,"R$ 1664,72"
2007,abril,INST. DE QUÍMICA UNB,497353-4,C06N002634,2041,2259,49,
2007,abril,INST. DE-ARTE IDA SCLN 406 BL. A LJ 32,19813-7,A05S117901,21,21,10,"R$ 68,60"
2007,abril,OFICINA MAQUETE P INSTITUTO DE  ARTE UNB,480338-8,A06A04134,1379,1694,123,"R$ 1347,76"
2007,abril,POSTO DE COMBUSTIVEL - GASOLINA UNB,480340-1,A06A040133,318,345,25,"R$ 238,40"
2007,abril,PREFEITURA DA UNB LIGAÇÃO 02,480342-6,E03N000289,5121,5768,505,"R$ 5672,00"
2007,abril,TERMOBIOLOGIA - UNB,497350-1,A03N643055,423,484,18,"R$ 220,18"
2007,abril,UNB  ARQUITETURA DANÇA SG 10-1 CEPLAN,476240-1,E03N000308,1200,1344,104,"R$ 1132,68"
2007,abril,UNB - CDT/OBRA,497354-2,C06N002635,1112,1122,,"R$ 220,18"
2007,abril,UNB - PAVILHÃO JOÃO CALMON 01,478811-7,E04N000180,3706,4472,152,"R$ 1676,04"
2007,abril,UNB - POSTO DE SAÚDE,480337-1,C03N001119,1413,1617,152,"R$ 1665,80"
2007,abril,UNB - REITORIA LIGAÇÃO 01,480347-7,E03N001158,6825,7833,812,"R$ 9147,24"
2007,abril,UnB ALMOXARIFADO CENTRAL LIG. 01,478994-6,C03N000966,1955,1977,143,"R$ 1574,16"
2007,abril,UNB ASSOS. DOS SERVID. ASFUB LIG. 2,475855-2,A04L054783,624,649,37,"R$ 374,24"
2007,abril,UnB BANCA DE REVISTA COLINA,484167-1,A06A080132,50,59,3,"R$ 68,60"
2007,abril,UNB BANCO DO BRASIL LIGAÇÃO 01,479004-9,C03N001205,712,817,86,"R$ 928,92"
2007,abril,UNB BANCO REAL LIGAÇÃO 01,479007-3,C03N000596,25,25,10,"R$ 68,60"
2007,abril,UNB CANTINA CHICO MENDES,479009-1,A06A039940,675,738,75,"R$ 804,40"
2007,abril,UnB CASA DO  ESTUDANTE BL.A,481326-1,E03N000829,8870,9541,871,"R$ 9815,12"
2007,abril,UnB CASA DO ESTUDANTE BL. B LIG-1,481327-8,E03N000284,6247,6808,655,"R$ 7370,00"
2007,abril,UNB CASA DO PROFº 2 ADUNB LIG. 2,475854-4,E03N000286,451,534,48,"R$ 498,76"
2007,abril,UNB CENT DE EXELENCIA EM TURISMO LIG 01,479019-7,E04N000176,2572,2915,141,"R$ 155152,00"
2007,abril,UnB CENTRO COMUNITÁRIO CCAB - 01,478995-4,C03N000425,1279,1367,171,"R$ 1891,12"
2007,abril,UNB CENTRO DE CONVIVÊNCIA NEGRA,480339-6,A06A040132,135,155,22,"R$ 204,44"
2007,abril,UNB CENTRO FORMAÇÃO REC.,478806-1,E04N000017,2562,2942,97,"R$ 1053,44"
2007,abril,UnB CENTRO OLÍMPICO LIG - 1,481324-3,E03N000826,9890,11089,907,"R$ 10222,64"
2007,abril,UNB COMPLEXO DAS ARTE,479002-2,E02N000825,3279,3402,279,"R$ 3113,68"
2007,abril,UNB DEPARTAMENTO DE MÚSICA SG-2 HID.01,476243-6,E04N000167,1127,1146,41,"R$ 419,52"
2007,abril,UNB DEPARTAMENTO DE MÚSICA SG-4   1,478996-2,E0N000296,843,898,155,"R$ 1710,00"
2007,abril,UNB ENGENHARIA ELETRICA SG 11 LIG 2,475844-7,E02N000752,1786,2034,360,"R$ 4030,60"
2007,abril,UNB FACULD. DE MEDICINA DE SAÚDE,478987-3,E03N001125,7943,8994,1106,"R$ 2615,60"
2007,abril,UNB FACULDADE DE EDUCAÇÃO FE 1 LIG 2,475838-2,E78T000568,2118,2242,122,"R$ 1254,60"
2007,abril,UNB FACULDADE DE EDUCAÇÃO FE 3 LIG 2,475840-4,E78T000003,2836,2913,150,"R$ 1653,40"
2007,abril,UNB FACULDADE DE EDUCAÇÃO FE 5 LIG 2,475842-1,E78T000540,1900,2088,174,"R$ 1925,08"
2007,abril,UnB FACULDADE DE EDUCAÇÃO FÍSICA,481338-3,E03N000850,2831,3175,319,"R$ 3566,48"
2007,abril,UNB GEOGRONOLOGIA,497351-8,A03N236107,334,376,18,"R$ 220,18"
2007,abril,UNB INST.CENTRAL DE CIÊNCIAS ICC-I,8527-8,H90T000007,113997,120121,6588,"R$ 74531,56"
2007,abril,UNB INSTITUTO DE ARTES 1,478998-9,E04000153,1879,2010,150,"R$ 1653,40"
2007,abril,UNB LAB. ANEXO FARMA,497352-6,AO3N647497,53,58,49,"R$ 395,64"
